order_id,user_id,product_id,price,quantity,timestamp,channel,revenue
ORD026255,U01639,P087,7.11,3,2025-12-23,Marketplace,21.330000000000002
ORD023207,U04034,P023,26.24,5,2026-01-08,App,131.2
ORD022084,U01707,P067,7.18,1,2025-10-04,Retail,7.18
ORD013963,U00997,P025,48.73,3,2025-11-30,Gym Kiosk,146.19
ORD028277,U02189,P133,68.78,2,2025-10-12,Retail,137.56
ORD019763,U04527,P101,9.34,6,2026-02-09,Marketplace,56.04
ORD006695,U03088,P070,10.74,2,2026-02-14,Retail,21.48
ORD013256,U00485,P096,27.51,2,2025-11-02,Website,55.02
ORD004700,U03907,P105,143.33,2,2025-10-01,App,286.66
ORD034144,U04309,P073,14.66,1,2026-02-28,App,14.66
ORD012479,U02433,P047,10.03,1,2026-02-12,Website,10.03
ORD041991,U03069,P043,21.39,1,2026-04-14,App,21.39
ORD020919,U03676,P047,10.03,3,2026-01-06,Retail,30.089999999999996
ORD006662,U03966,P124,7.73,3,2025-09-25,Gym Kiosk,23.19
ORD042275,U01125,P068,15.56,6,2025-06-15,Marketplace,93.36
ORD013172,U04983,P006,5.13,151,2026-01-25,Gym Kiosk,774.63
ORD006584,U03913,P013,19.3,1,2025-11-18,App,19.3
ORD038464,U03639,P095,9.99,1,2025-09-20,Retail,9.99
ORD049790,U00613,P092,6.68,1,2025-06-12,Marketplace,6.68
ORD020869,U03410,P049,11.16,4,2026-02-14,Website,44.64
ORD039104,U02952,P065,14.97,2,2025-07-22,Website,29.94
ORD027985,U01845,P136,25.58,1,2026-02-11,Retail,25.58
ORD034457,U03240,P073,12.02,2,2026-04-17,App,24.04
ORD029874,U02188,P010,19.2,1,2026-02-08,Retail,19.2
ORD020786,U04167,P089,4.78,3,2025-07-01,Website,14.34
ORD014346,U00201,P146,12.23,1,2025-09-28,Website,12.23
ORD000651,U01845,P115,36.05,1,2025-09-30,Website,36.05
ORD032734,U02973,P010,14.95,2,2025-11-11,Gym Kiosk,29.9
ORD027703,U04694,P056,12.69,3,2026-04-15,Website,38.07
ORD035271,U04194,P097,14.72,2,2025-09-16,Website,29.44
ORD046956,U03219,P061,34.75,3,2026-01-20,Marketplace,104.25
ORD039291,U02395,P065,17.7,2,2025-12-04,Gym Kiosk,35.4
ORD022353,U03193,P147,8.02,2,2025-07-06,App,16.04
ORD013104,U02925,P003,9.86,1,2025-05-13,Retail,9.86
ORD019554,U04883,P144,32.73,4,2026-04-24,Retail,130.92
ORD034354,U04641,P030,7.01,3,2025-05-23,Marketplace,21.03
ORD017617,U01116,P117,16.51,1,2025-12-27,App,16.51
ORD042494,U00127,P150,12.52,2,2025-07-11,Retail,25.04
