product_id,category,claims,ingredient_tags,pack_size
P001,Electrolyte Drink,"nut-free, clean-label","monk-fruit, oats, collagen",1
P002,Meal Replacement,"plant-based, halal, kosher, low-sugar","whey, oats",1
P003,Proten Shake,jain-friendly,monk-fruit,1
P004,Healthy Snack,vegan,stevia,4
P005,Meal Replacement,"halal, low-sugar, vegan","whey, stevia",1
P006,Protein Shake,"gluten-free, halal, kosher",Unknown,1
P007,Supplement,"keto-friendly, plant-based","oats, monk-fruit, soy",12
P008,Protein bar ,"diabetic-friendly, kosher","stevia, monk-fruit, almond-flour",1
P009,Electrolyte Drink,clean-label,"collagen, soy",1
P010,Healthy Snack,"clean-label, vegan, nut-free, kosher","pea-protein, oats, almond-flour",1
P011,Proten Shake,"kosher, jain-friendly, plant-based",collagen,1
P012,Healthy Snack,plant-based,"whey, monk-fruit",1
P013,Electrolyte Drink,"kosher, diabetic-friendly, clean-label","soy, collagen",1
P014,Protein Shake,"keto-friendly, gluten-free",pea-protein,4
P015,Meal Replacement,"clean-label, diabetic-friendly","soy, stevia, monk-fruit",1
P016,Protein Shake,nut-free,soy,1
P017,Electrolyte Drink,jain-friendly,"collagen, soy",4
P018,Protein Bar,diabetic-friendly,whey,1
P019,Meal Replacement,"vegan, halal, high-protein",collagen,12
P020,Electrolyte Drink,"low-sugar, high-protein","collagen, oats, monk-fruit",4
P021,Healthy Snack,diabetic-friendly,"whey, soy",1
P022,Protein Bar,"gluten-free, vegan, clean-label, keto-friendly","oats, whey",1
P023,Proten Shake,plant-based,soy,4
P024,Supplement,"gluten-free, kosher","almond-flour, pea-protein",1
P025,Meal Replacement,"keto-friendly, vegan, low-sugar, diabetic-friendly","pea-protein, whey, soy",4
P026,Electrolyte Drink,"gluten-free, diabetic-friendly, vegan","almond-flour, whey",4
P027,Protein Shake,vegan,monk-fruit,12
P028,Protein Shake,"kosher, plant-based, clean-label, gluten-free",Unknown,1
P029,Proten Shake,high-protein,"almond-flour, pea-protein",12
P030,Electrolyte Drink,"gluten-free, kosher",oats,1
P031,Healthy Snack,"diabetic-friendly, jain-friendly",Unknown,1
P032,Protein bar ,gluten-free,almond-flour,1
P033,Healthy Snack,"clean-label, keto-friendly, high-protein",Unknown,1
P034,Proten Shake,nut-free,soy,1
P035,Proten Shake,"clean-label, vegan, keto-friendly, jain-friendly","monk-fruit, pea-protein",1
P036,Protein Bar,high-protein,"oats, whey, pea-protein",4
P037,Supplement,"halal, keto-friendly, low-sugar","soy, almond-flour",4
P038,Protein Bar,"high-protein, halal",pea-protein,1
P039,Protein Shake,"halal, kosher, keto-friendly, nut-free",stevia,4
P040,Supplement,"high-protein, jain-friendly, nut-free","stevia, almond-flour",1
P041,Healthy Snack,"high-protein, gluten-free, diabetic-friendly, kosher","whey, oats",1
P042,Electrolyte Drink,kosher,"whey, collagen",1
P043,Protein bar ,"diabetic-friendly, high-protein, keto-friendly, clean-label",oats,1
P044,Supplement,high-protein,Unknown,4
P045,Healthy Snack,"plant-based, kosher, low-sugar","oats, stevia",1
P046,Supplement,"gluten-free, clean-label",whey,1
P047,Meal Replacement,low-sugar,collagen,1
P048,Supplement,"nut-free, kosher, low-sugar","pea-protein, almond-flour, whey",4
P049,Protein Shake,"high-protein, gluten-free, diabetic-friendly, nut-free",pea-protein,1
P050,Healthy Snack,"diabetic-friendly, gluten-free, kosher, high-protein","almond-flour, oats, pea-protein",4
P051,Proten Shake,"vegan, gluten-free, halal","collagen, soy",4
P052,Healthy Snack,"plant-based, low-sugar, kosher","monk-fruit, oats, almond-flour",1
P053,Healthy Snack,vegan,stevia,1
P054,Supplement,"clean-label, jain-friendly, halal, vegan","pea-protein, soy, monk-fruit",12
P055,Unknown,"low-sugar, clean-label",Unknown,12
P056,Proten Shake,"vegan, diabetic-friendly, jain-friendly","oats, monk-fruit, collagen",1
P057,Supplement,"keto-friendly, gluten-free, jain-friendly","almond-flour, oats",12
P058,Protein bar ,"vegan, diabetic-friendly, kosher",stevia,1
P059,Protein Shake,"gluten-free, kosher, low-sugar","monk-fruit, pea-protein",1
P060,Proten Shake,"clean-label, jain-friendly, kosher","stevia, soy, almond-flour",12
P061,Supplement,"vegan, high-protein, keto-friendly",Unknown,4
P062,Protein bar ,"clean-label, diabetic-friendly, plant-based","soy, pea-protein",1
P063,Protein bar ,"low-sugar, keto-friendly, jain-friendly",monk-fruit,12
P064,Electrolyte Drink,"nut-free, clean-label, diabetic-friendly","oats, monk-fruit, whey",12
P065,Unknown,"nut-free, low-sugar","whey, stevia",1
P066,Protein bar ,"nut-free, gluten-free, kosher",oats,1
P067,Supplement,halal,"collagen, almond-flour, oats",1
P068,Healthy Snack,"keto-friendly, clean-label, gluten-free","pea-protein, oats",1
P069,Meal Replacement,plant-based,oats,1
P070,Protein bar ,"high-protein, vegan",monk-fruit,1
P071,Protein Bar,"plant-based, high-protein, keto-friendly",whey,1
P072,Unknown,"gluten-free, low-sugar, halal, kosher","monk-fruit, stevia",4
P073,Protein Bar,"jain-friendly, high-protein, halal, keto-friendly","oats, collagen, almond-flour",1
P074,Proten Shake,"high-protein, gluten-free, clean-label, plant-based",almond-flour,1
P075,Meal Replacement,"halal, clean-label, gluten-free, vegan","monk-fruit, whey, pea-protein",4
P076,Meal Replacement,"kosher, gluten-free, plant-based","whey, monk-fruit, almond-flour",1
P077,Protein Bar,diabetic-friendly,"oats, collagen",12
P078,Unknown,"halal, vegan, keto-friendly, clean-label",whey,1
P079,Meal Replacement,"plant-based, clean-label, halal",Unknown,1
P080,Healthy Snack,"jain-friendly, clean-label, keto-friendly",whey,1
P081,Protein Bar,"vegan, nut-free",pea-protein,12
P082,Protein bar ,nut-free,"oats, almond-flour, soy",1
P083,Proten Shake,"diabetic-friendly, keto-friendly",oats,4
P084,Supplement,"halal, clean-label","soy, almond-flour",1
P085,Protein Bar,kosher,"monk-fruit, oats, pea-protein",4
P086,Protein Bar,"plant-based, gluten-free, nut-free","monk-fruit, collagen, soy",1
P087,Proten Shake,"high-protein, gluten-free, halal","stevia, monk-fruit",1
P088,Electrolyte Drink,"halal, vegan, diabetic-friendly, keto-friendly","pea-protein, almond-flour, collagen",1
P089,Electrolyte Drink,"gluten-free, plant-based","whey, oats",1
P090,Protein Bar,"vegan, clean-label, low-sugar","whey, almond-flour, soy",4
P091,Healthy Snack,clean-label,"soy, collagen",1
P092,Protein Bar,"jain-friendly, gluten-free, vegan","oats, monk-fruit",1
P093,Protein bar ,halal,"oats, pea-protein, monk-fruit",1
P094,Protein Bar,gluten-free,"pea-protein, soy, monk-fruit",1
